khipu_id,structural_cluster,predicted_function,confidence,administrative_type,cord_count,hierarchy_depth,summation_match_rate,numeric_coverage,unique_color_count,color_entropy
1000093,4,Accounting,0.9554980030007347,Lateral Category Tracking,24,2,1.0,0.875,2.0,0.6365141682948128
1000094,3,Accounting,1.0,Local Operational Record,286,3,0.0,0.902097902097902,4.0,1.3085501251658918
1000096,3,Accounting,1.0,Local Operational Record,1832,3,0.0363636363636363,0.2177947598253275,8.0,0.5292180246535031
1000097,0,Accounting,1.0,Compact Operational Record,88,3,0.0,0.8068181818181818,5.0,1.08868141577348
1000098,6,Accounting,1.0,Exceptional/Anomalous,50,2,0.0,0.46,5.0,1.2323532148505176
1000099,6,Accounting,1.0,Exceptional/Anomalous,44,1,0.0,0.8181818181818182,3.0,1.0180471802852515
1000100,6,Accounting,1.0,Exceptional/Anomalous,26,1,0.0,0.8076923076923077,4.0,1.1084060932035693
1000101,6,Accounting,1.0,Exceptional/Anomalous,29,2,0.0,0.896551724137931,3.0,0.9299473006147054
1000103,4,Accounting,0.9906832298136646,Lateral Category Tracking,542,2,0.5357142857142857,0.4391143911439114,6.0,0.9136770738653853
1000105,6,Accounting,1.0,Exceptional/Anomalous,13,1,0.0,0.3076923076923077,2.0,0.4293230219306162
1000106,6,Accounting,0.980974491949587,Exceptional/Anomalous,19,1,0.0,0.9473684210526316,4.0,1.2312356911067466
1000107,6,Accounting,1.0,Exceptional/Anomalous,16,1,0.0,0.875,2.0,0.6931471805599453
1000108,6,Accounting,1.0,Exceptional/Anomalous,26,1,0.0,0.8846153846153846,3.0,0.8225715143524168
1000109,0,Accounting,1.0,Compact Operational Record,11,3,0.0,0.7272727272727273,3.0,1.0670895187820832
1000110,6,Accounting,1.0,Exceptional/Anomalous,22,1,0.0,0.8636363636363636,3.0,0.8454652292345644
1000111,2,Accounting,1.0,Standard Administrative Record,12,2,0.0,0.4166666666666667,4.0,1.236684869140504
1000112,2,Accounting,1.0,Standard Administrative Record,5,1,0.0,0.8,4.0,1.3862943611198906
1000113,6,Accounting,1.0,Exceptional/Anomalous,36,1,0.0,0.9722222222222222,6.0,1.679995714344599
1000114,6,Accounting,1.0,Exceptional/Anomalous,15,2,0.0,0.7333333333333333,2.0,0.6931471805599453
1000115,6,Accounting,1.0,Exceptional/Anomalous,191,2,0.0,0.9738219895287958,2.0,0.16731118272533652
1000116,6,Accounting,0.9602958389840682,Exceptional/Anomalous,21,1,0.0,0.9523809523809524,1.0,0.0
1000117,2,Accounting,1.0,Standard Administrative Record,19,2,0.0,0.7894736842105263,2.0,0.6581099875431143
1000118,5,Accounting,1.0,Multi-Level Aggregation,31,1,0.0,0.967741935483871,3.0,1.0206687537032066
1000119,1,Accounting,0.9901960784313725,Aggregated Summary,63,1,0.0,0.8888888888888888,2.0,0.5982695885852573
1000120,6,Accounting,1.0,Exceptional/Anomalous,91,2,0.0,0.8241758241758241,4.0,1.0876938454156744
1000121,6,Accounting,1.0,Exceptional/Anomalous,124,2,0.0,0.8548387096774194,5.0,1.1946173042400692
1000122,6,Accounting,1.0,Exceptional/Anomalous,19,1,0.0,0.9473684210526316,2.0,0.20619205063323187
1000123,6,Accounting,1.0,Exceptional/Anomalous,21,1,0.0,0.9523809523809524,3.0,0.9381390150046416
1000124,1,Accounting,1.0,Aggregated Summary,113,1,0.0,0.9380530973451328,5.0,1.2670404555929888
1000125,0,Accounting,1.0,Compact Operational Record,42,3,0.0,0.8809523809523809,5.0,1.424357076450059
1000126,0,Accounting,1.0,Compact Operational Record,48,3,0.125,0.875,3.0,0.7690709931329595
1000127,6,Accounting,1.0,Exceptional/Anomalous,119,2,0.0,0.8907563025210085,8.0,1.7889551957211083
1000128,6,Accounting,1.0,Exceptional/Anomalous,41,2,0.0666666666666666,0.951219512195122,4.0,0.8969272846842112
1000129,2,Accounting,1.0,Standard Administrative Record,4,1,0.0,0.75,3.0,1.0397207708399179
1000130,2,Accounting,1.0,Standard Administrative Record,10,2,0.0,0.8,4.0,1.2206072645530175
1000131,1,Accounting,1.0,Aggregated Summary,66,1,0.0,0.9242424242424242,3.0,0.628130285007377
