kfg_id,cluster_label,geo_zone,n_cords,n_unique_colors
KH0657,Simple,Cañete–Pisco,12,9
KH0658,Simple,Cañete–Pisco,10,1
KH0659,Simple,Cañete–Pisco,5,5
KH0660,Simple,Cañete–Pisco,11,7
KH0661,Simple,Cañete–Pisco,8,8
KH0662,Simple,Cañete–Pisco,8,4
KH0663,Simple,Cañete–Pisco,7,2
KH0664,Simple,,46,12
KH0665,Complex,,354,136
KH0666,Simple,,17,1
KH0667,Complex,,189,10
KH0668,Simple,Central Coast,6,3
KH0669,Simple,,32,14
KH0670,Complex,,228,1
KH0671,Simple,,1,1
KH0672,Simple,Nazca & Far South,40,4
KH0673,Simple,Nazca & Far South,83,12
KH0674,Complex,,623,26
KH0675,Complex,,285,20
KH0676,Simple,Central Coast,138,11
KH0677,Complex,Central Coast,308,20
KH0678,Simple,,63,11
KH0679,Simple,,44,8
KH0680,Simple,,75,7
KH0681,Simple,,54,6
KH0682,Simple,,59,12
KH0683,Simple,,16,3
KH0684,Simple,,8,3
KH0685,Simple,,4,1
KH0686,Simple,,4,3
KH0687,Simple,,3,1
KH0688,Simple,,4,3
KH0689,Simple,,41,13
KH0690,Simple,,23,6
KH0691,Simple,,18,10
KH0692,Complex,,265,63
KH0693,Simple,,89,4
KH0694,Complex,,175,115
KH0695,Complex,,268,7
KH0696,Simple,,39,5
KH0697,Simple,,83,18
KH0698,Complex,,556,17
KH0699,Complex,Central Coast,250,9
KH0700,Complex,,162,11
KH0701,Complex,,136,4
KH0702,Complex,,147,9
KT002,Simple,Nazca & Far South,59,27
RA001,Simple,Ica & Paracas,76,3
RA002,Simple,Ica & Paracas,12,2
RA003,Simple,Ica & Paracas,7,3
RA004,Simple,Ica & Paracas,8,1
RA005,Simple,Ica & Paracas,22,2
RA006,Simple,Ica & Paracas,47,3
RA007,Simple,Ica & Paracas,7,4
RA008,Simple,Ica & Paracas,20,2
RA009,Simple,Ica & Paracas,8,6
RA010,Simple,Ica & Paracas,9,5
RS001,Simple,Central Coast,35,18
