khipu_id,num_nodes,num_edges,avg_degree,max_degree,density,depth,width,avg_branching,num_roots,num_leaves,has_numeric,has_color,avg_numeric_value,std_numeric_value
1000159,65,64,1.9692307692307693,32,0.015384615384615385,2,32,2.909090909090909,1,43,0.7846153846153846,0.9846153846153847,220.58823529411765,1540.704195712182
1000160,4,3,1.5,3,0.25,1,3,3.0,1,3,0.75,0.0,37077.333333333336,52353.96928812773
1000161,13,12,1.8461538461538463,12,0.07692307692307693,1,12,12.0,1,12,0.8461538461538461,0.9230769230769231,1269.6363636363637,3138.204966732278
1000162,36,35,1.9444444444444444,23,0.027777777777777776,2,23,2.6923076923076925,1,23,0.7777777777777778,0.8888888888888888,48.75,205.5257413492112
1000163,20,19,1.9,19,0.05,1,19,19.0,1,19,0.95,0.95,3.6842105263157894,0.7981974151633211
1000164,87,86,1.9770114942528736,85,0.011494252873563218,2,73,43.0,1,85,0.9080459770114943,0.9885057471264368,9336640.683544304,29324132.769614067
1000165,65,64,1.9692307692307693,37,0.015384615384615385,2,37,2.2857142857142856,1,37,0.9846153846153847,0.9846153846153847,237380.71875,1389857.5560253744
1000166,29,28,1.9310344827586208,27,0.034482758620689655,2,25,14.0,1,27,0.7931034482758621,0.9655172413793104,14.652173913043478,31.31412890672748
1000167,25,24,1.92,15,0.04,2,15,2.4,1,15,0.8,0.96,67399.05,241716.19726809266
1000168,4,3,1.5,3,0.25,1,3,3.0,1,3,0.75,0.75,13.0,0.0
1000169,21,20,1.9047619047619047,20,0.047619047619047616,1,20,20.0,1,20,0.5714285714285714,0.9523809523809523,2.0,0.816496580927726
1000170,50,49,1.96,20,0.02,2,29,2.45,1,30,0.66,0.96,1.5757575757575757,0.779677595773855
1000171,16,15,1.875,15,0.0625,1,15,15.0,1,15,0.9375,0.9375,3.533333333333333,2.0933757957476775
1000172,28,27,1.9285714285714286,27,0.03571428571428571,1,27,27.0,1,27,0.8214285714285714,0.9642857142857143,4.391304347826087,2.698455765075287
1000173,9,8,1.7777777777777777,8,0.1111111111111111,1,8,8.0,1,8,0.8888888888888888,0.8888888888888888,4.25,3.031088913245535
1000174,26,25,1.9230769230769231,25,0.038461538461538464,1,25,25.0,1,25,0.23076923076923078,0.0,20372595.666666668,40782199.681019984
1000176,39,38,1.9487179487179487,38,0.02564102564102564,1,38,38.0,1,38,0.48717948717948717,0.9743589743589743,1.6842105263157894,0.8616160812497315
1000177,29,23,1.5862068965517242,9,0.02832512315270936,2,12,1.5333333333333334,6,14,0.6896551724137931,0.7586206896551724,3.1,3.858756276314948
1000178,33,32,1.9393939393939394,16,0.030303030303030304,2,16,1.8823529411764706,1,16,0.7878787878787878,0.9696969696969697,3.8076923076923075,2.5872353936680215
1000179,27,26,1.9259259259259258,21,0.037037037037037035,2,21,4.333333333333333,1,21,0.8888888888888888,0.9629629629629629,568398.5833333334,2221529.2892963
1000180,106,105,1.9811320754716981,85,0.009433962264150943,2,85,7.0,1,91,0.2830188679245283,0.9716981132075472,7.066666666666666,19.595804539634383
1000182,4,3,1.5,3,0.25,1,3,3.0,1,3,0.75,0.75,371161.6666666667,523303.0944276515
1000183,590,589,1.9966101694915255,559,0.001694915254237288,3,557,19.0,1,559,0.31186440677966104,0.9677966101694915,6169.967391304348,81687.82009863114
1000184,91,90,1.978021978021978,90,0.01098901098901099,1,89,90.0,1,90,0.46153846153846156,0.989010989010989,2651.5,16938.69235725738
1000185,76,75,1.9736842105263157,42,0.013157894736842105,3,42,2.2058823529411766,1,42,0.9868421052631579,0.9868421052631579,1.481481483111649e+17,1.2744185580614387e+18
1000186,13,12,1.8461538461538463,12,0.07692307692307693,1,12,12.0,1,12,0.6923076923076923,0.9230769230769231,1.0,0.0
1000187,12,11,1.8333333333333333,7,0.08333333333333333,2,7,5.5,1,10,0.9166666666666666,0.8333333333333334,2.727272727272727,2.178027009220171
1000188,40,39,1.95,20,0.025,2,20,1.95,1,20,0.675,0.975,2.740740740740741,2.3348025944406645
1000189,11,10,1.8181818181818181,9,0.09090909090909091,2,9,5.0,1,9,0.9090909090909091,0.9090909090909091,1011111.0,300000.0
1000190,10,9,1.8,9,0.1,1,9,9.0,1,9,0.4,0.9,4.5,2.0615528128088303
1000191,11,10,1.8181818181818181,10,0.09090909090909091,1,10,10.0,1,10,0.9090909090909091,0.9090909090909091,1373.5,3272.8224287302846
1000192,76,75,1.9736842105263157,60,0.013157894736842105,2,54,5.769230769230769,1,63,0.7894736842105263,0.9473684210526315,9.75,23.551096931282558
1000194,9,8,1.7777777777777777,7,0.1111111111111111,2,7,4.0,1,7,0.5555555555555556,0.8888888888888888,1.4,0.8
1000195,4,3,1.5,3,0.25,1,3,3.0,1,3,0.5,0.75,2.0,1.0
1000196,3,2,1.3333333333333333,2,0.3333333333333333,1,2,2.0,1,2,0.0,0.6666666666666666,0.0,0.0
1000197,78,77,1.9743589743589745,54,0.01282051282051282,2,54,3.5,1,56,0.5256410256410257,0.9871794871794872,30.317073170731707,171.05446843599697
1000198,261,260,1.9923371647509578,105,0.0038314176245210726,3,139,2.3008849557522124,1,148,0.8773946360153256,0.9961685823754789,7.943231441048035,73.78365228840535
1000199,29,28,1.9310344827586208,19,0.034482758620689655,2,19,3.5,1,21,0.7586206896551724,0.9655172413793104,2.1818181818181817,1.113404428537808
1000200,57,56,1.9649122807017543,49,0.017543859649122806,2,49,8.0,1,50,0.6140350877192983,0.9824561403508771,5.714285714285714,18.654101699199607
1000201,144,143,1.9861111111111112,87,0.006944444444444444,4,87,3.575,1,104,0.8472222222222222,0.9930555555555556,2291559.426229508,14188625.637550607
1000204,17,16,1.8823529411764706,16,0.058823529411764705,1,16,16.0,1,16,0.17647058823529413,0.9411764705882353,4.333333333333333,2.0548046676563256
1000205,5,4,1.6,4,0.2,1,4,4.0,1,4,0.8,0.8,35.75,45.51030103174445
1000206,13,12,1.8461538461538463,8,0.07692307692307693,2,8,3.0,1,9,0.9230769230769231,0.9230769230769231,11121503.416666666,30425253.48829035
1000207,39,38,1.9487179487179487,37,0.02564102564102564,2,37,19.0,1,37,0.717948717948718,0.9743589743589743,7.857142857142857,20.741115629372985
1000208,46,45,1.9565217391304348,27,0.021739130434782608,4,27,2.3684210526315788,1,27,0.8913043478260869,0.9782608695652174,323203.9024390244,1714499.6047408774
1000209,57,56,1.9649122807017543,32,0.017543859649122806,3,32,2.8,1,37,0.9122807017543859,0.9824561403508771,304139.51923076925,1541791.7059614253
1000210,15,14,1.8666666666666667,11,0.06666666666666667,4,11,3.5,1,11,0.6666666666666666,0.9333333333333333,29.7,40.98060516878685
1000211,30,29,1.9333333333333333,27,0.03333333333333333,2,27,14.5,1,28,0.8666666666666667,0.9666666666666667,4273934.807692308,21367435.945162576
1000212,54,53,1.962962962962963,40,0.018518518518518517,2,40,4.818181818181818,1,43,0.8333333333333334,0.9814814814814815,34.75555555555555,165.57041544048803
