kfg_id,provenance_display,n_cords,n_pattern_types,cluster,nn_top_zone,nn_top_weight,nn_zones,nn_dists
KH0234,Unknown,20,2,0,Central Coast,0.565,Central Coast|Ica & Paracas|Central Coast|Nazca & Far South|Central Coast,0.155|0.155|0.385|0.771|1.004
KH0261,Unknown,46,4,0,Central Coast,0.814,Central Coast|Central Coast|Ica & Paracas|Central Coast|Central Coast,0.674|0.782|0.927|1.007|1.045
KH0267,Unknown,188,8,1,Central Coast,0.444,Central Coast|Central Coast|Nazca & Far South|Chachapoyas|Chachapoyas,1.200|1.205|1.364|1.457|1.506
KH0269,Unknown,171,6,1,Cañete–Pisco,0.426,Cañete–Pisco|Central Coast|Nazca & Far South|Cañete–Pisco|Nazca & Far South,0.857|0.916|1.118|1.144|1.307
KH0270,Unknown,39,1,0,Nazca & Far South,0.588,Nazca & Far South|Ica & Paracas|Ica & Paracas|Chachapoyas|Central Coast,0.045|0.195|0.209|0.359|0.372
KH0273,Unknown,43,4,0,Central Coast,0.787,Central Coast|Central Coast|Ica & Paracas|Central Coast|Central Coast,0.367|0.390|0.397|0.447|0.561
KH0274,Unknown,25,4,0,Central Coast,0.814,Central Coast|Central Coast|Ica & Paracas|Central Coast|Central Coast,0.732|1.003|1.005|1.006|1.017
KH0275,Unknown,160,7,1,Central Coast,0.788,Chachapoyas|Central Coast|Central Coast|Central Coast|Central Coast,1.460|1.464|1.525|1.651|1.651
KH0279,Unknown,327,7,1,Cañete–Pisco,0.377,Chachapoyas|Cañete–Pisco|Central Coast|Ica & Paracas|Cañete–Pisco,1.062|1.152|1.189|1.420|1.563
KH0280,Unknown,164,3,1,Cañete–Pisco,0.441,Cañete–Pisco|Southern Highlands|Cañete–Pisco|Ica & Paracas|Nazca & Far South,3.017|3.030|3.376|4.244|4.347
KH0281,Unknown,98,4,0,Central Coast,1.0,Central Coast|Central Coast|Central Coast|Central Coast|Central Coast,1.044|1.123|1.140|1.187|1.239
KH0282,Unknown,98,6,0,Central Coast,0.492,Central Coast|Cañete–Pisco|Cañete–Pisco|Central Coast|Nazca & Far South,0.597|1.129|1.140|1.296|1.317
KH0283,Unknown,55,1,0,Central Coast,0.611,Central Coast|Central Coast|Ica & Paracas|Ica & Paracas|Central Coast,0.232|0.268|0.273|0.276|0.293
KH0284,Unknown,54,1,0,Central Coast,0.615,Central Coast|Central Coast|Cañete–Pisco|Central Coast|Ica & Paracas,0.274|0.275|0.292|0.319|0.321
KH0285,Unknown,61,1,0,Central Coast,0.43,Central Coast|Central Coast|Cañete–Pisco|Ica & Paracas|Ica & Paracas,0.301|0.321|0.339|0.356|0.362
KH0286,Unknown,72,1,0,Central Coast,0.624,Central Coast|Central Coast|Central Coast|Ica & Paracas|Cañete–Pisco,0.329|0.392|0.410|0.412|0.414
KH0287,Unknown,105,4,0,Cañete–Pisco,0.498,Cañete–Pisco|Central Coast|Central Coast|Cañete–Pisco|Nazca & Far South,0.549|1.055|1.059|1.088|1.156
KH0288,Unknown,115,4,1,Cañete–Pisco,0.397,Southern Highlands|Cañete–Pisco|Cañete–Pisco|Nazca & Far South|Ica & Paracas,0.941|1.247|2.520|2.558|2.697
KH0289,Unknown,180,4,1,Cañete–Pisco,0.445,Cañete–Pisco|Southern Highlands|Cañete–Pisco|Ica & Paracas|Nazca & Far South,3.442|3.489|3.603|4.646|4.811
KH0290,Unknown,42,3,0,Cañete–Pisco,0.508,Cañete–Pisco|Cañete–Pisco|Nazca & Far South|Chachapoyas|Central Coast,0.318|0.459|0.463|0.616|0.725
KH0291,Unknown,38,2,0,Central Coast,0.744,Ica & Paracas|Central Coast|Central Coast|Central Coast|Central Coast,0.249|0.254|0.321|0.431|0.438
KH0292,Unknown,24,1,0,Central Coast,0.782,Central Coast|Central Coast|Central Coast|Arica & N. Chile|Chachapoyas,0.087|0.147|0.228|0.270|0.382
KH0295,Unknown,256,2,0,Ica & Paracas,0.802,Ica & Paracas|Ica & Paracas|Arica & N. Chile|Ica & Paracas|Ica & Paracas,1.269|1.384|1.384|1.407|1.410
