kfg_id,parent_name,parent_val,children_sum,n_children,n_nonzero_children,n_zero_children,children_mean,children_max,ratio,compliance_class
KH0028,p15s1,1,1,1,1,0,1.0,1,1.0,compliant
KH0028,p16,9,2,2,2,0,1.0,1,0.2222222222222222,sub
KH0028,p17,9,1,1,1,0,1.0,1,0.1111111111111111,sub
KH0028,p17s1,1,1,1,1,0,1.0,1,1.0,compliant
KH0028,p18,9,1,1,1,0,1.0,1,0.1111111111111111,sub
KH0028,p18s1,1,1,1,1,0,1.0,1,1.0,compliant
KH0028,p19,9,1,1,1,0,1.0,1,0.1111111111111111,sub
KH0028,p19s1,1,1,1,1,0,1.0,1,1.0,compliant
KH0028,p2,24,4,2,2,0,2.0,2,0.16666666666666666,sub
KH0028,p20,4,1,1,1,0,1.0,1,0.25,sub
KH0028,p21,4,1,1,1,0,1.0,1,0.25,sub
KH0028,p22,112,2,2,2,0,1.0,1,0.017857142857142856,children_all_zero
KH0028,p23,110,2,2,1,1,1.0,2,0.01818181818181818,children_all_zero
KH0028,p24,12,1,1,1,0,1.0,1,0.08333333333333333,sub
KH0028,p24s1,1,1,1,1,0,1.0,1,1.0,compliant
KH0028,p25,0,2,2,2,0,1.0,1,,trivial_parent_zero
KH0028,p26,104,2,2,2,0,1.0,1,0.019230769230769232,children_all_zero
KH0028,p27,0,1,2,1,1,0.5,1,,trivial_parent_zero
KH0028,p28,0,2,2,2,0,1.0,1,,trivial_parent_zero
KH0028,p29,0,1,2,1,1,0.5,1,,trivial_parent_zero
KH0028,p3,12,1,1,1,0,1.0,1,0.08333333333333333,sub
KH0028,p30,8,1,1,1,0,1.0,1,0.125,sub
KH0028,p31,8,1,1,1,0,1.0,1,0.125,sub
KH0028,p32,4,1,1,1,0,1.0,1,0.25,sub
KH0028,p33,8,0,1,0,1,0.0,0,0.0,children_all_zero
KH0028,p34,0,1,1,1,0,1.0,1,,trivial_parent_zero
KH0028,p35,0,1,1,1,0,1.0,1,,trivial_parent_zero
KH0028,p36,0,0,1,0,1,0.0,0,,trivial_parent_zero
KH0028,p37,0,0,1,0,1,0.0,0,,trivial_parent_zero
KH0028,p38,4,1,1,1,0,1.0,1,0.25,sub
KH0028,p39,4,1,1,1,0,1.0,1,0.25,sub
KH0028,p4,24,4,2,2,0,2.0,2,0.16666666666666666,sub
KH0028,p40,5,13,2,2,0,6.5,10,2.6,supra
KH0028,p40s1,10,10,1,1,0,10.0,10,1.0,compliant
KH0028,p41,2,2,1,1,0,2.0,2,1.0,compliant
KH0028,p42,6,3,2,2,0,1.5,2,0.5,partial_sub
KH0028,p42s1,1,1,1,1,0,1.0,1,1.0,compliant
KH0028,p43,0,5,2,2,0,2.5,4,,trivial_parent_zero
KH0028,p43s1,1,0,1,0,1,0.0,0,0.0,children_all_zero
KH0028,p44,4,5,2,2,0,2.5,4,1.25,partial_supra
KH0028,p45,0,3,2,2,0,1.5,2,,trivial_parent_zero
KH0028,p46,0,3,2,2,0,1.5,2,,trivial_parent_zero
KH0028,p48,8,5,2,2,0,2.5,4,0.625,partial_sub
