color_code,n_entries,pct_entries,n_khipus,pct_khipus
KB(5.0-7.0)/KB(7.0-35.0),5,0.006556689134254766,1,0.14104372355430184
GG-DB,5,0.006556689134254766,1,0.14104372355430184
GG-RB,5,0.006556689134254766,3,0.4231311706629055
AB(0.0-10.0)/AB,5,0.006556689134254766,1,0.14104372355430184
AB(0.0-0.0)/AB(0.0-0.0),5,0.006556689134254766,1,0.14104372355430184
W-YG,5,0.006556689134254766,1,0.14104372355430184
HB(0.0-0.0),5,0.006556689134254766,2,0.2820874471086037
DB(0.0-5.0)/SR,5,0.006556689134254766,1,0.14104372355430184
DB(0.0-5.0)/0G,5,0.006556689134254766,1,0.14104372355430184
W^LK,4,0.005245351307403813,2,0.2820874471086037
MB(0.0-6.0)/W(6.0-30.0),4,0.005245351307403813,1,0.14104372355430184
W-W,4,0.005245351307403813,3,0.4231311706629055
KB(5.0-7.0)/W(7.0-29.0),4,0.005245351307403813,2,0.2820874471086037
MB(0.0-7.0)/W(7.0-35.0),4,0.005245351307403813,1,0.14104372355430184
YB-YB,4,0.005245351307403813,1,0.14104372355430184
SR(0.0-2.0)/W(2.0-37.0),4,0.005245351307403813,2,0.2820874471086037
MB-W,4,0.005245351307403813,1,0.14104372355430184
YB-R0-PB,4,0.005245351307403813,1,0.14104372355430184
DB(0.0-2.5)/W(2.5-31.0),4,0.005245351307403813,2,0.2820874471086037
GL-MB,4,0.005245351307403813,3,0.4231311706629055
BL-LB,4,0.005245351307403813,2,0.2820874471086037
BL-DB,4,0.005245351307403813,1,0.14104372355430184
NB-GG,4,0.005245351307403813,2,0.2820874471086037
HB-KB,4,0.005245351307403813,3,0.4231311706629055
DB(0.0-3.0)/W(3.0-35.0),4,0.005245351307403813,1,0.14104372355430184
W(0.0-32.0)/MB,4,0.005245351307403813,1,0.14104372355430184
RB-G,4,0.005245351307403813,1,0.14104372355430184
MB-LK,4,0.005245351307403813,2,0.2820874471086037
YB-GG,4,0.005245351307403813,3,0.4231311706629055
YB-RL,4,0.005245351307403813,2,0.2820874471086037
W(0.0-6.5)/W,4,0.005245351307403813,2,0.2820874471086037
W(0.0-7.0)/W,4,0.005245351307403813,3,0.4231311706629055
AB-RB,4,0.005245351307403813,1,0.14104372355430184
W-BL,4,0.005245351307403813,1,0.14104372355430184
SY-FB,4,0.005245351307403813,1,0.14104372355430184
KB(5.0-7.0)/W(7.0-32.5),4,0.005245351307403813,2,0.2820874471086037
B-MB,4,0.005245351307403813,1,0.14104372355430184
AB(0.0-10.5)/AB,4,0.005245351307403813,1,0.14104372355430184
AB(0.0-0.0)/MB(0.0-0.0),4,0.005245351307403813,2,0.2820874471086037
LG-YB,4,0.005245351307403813,1,0.14104372355430184
LG-BY,4,0.005245351307403813,2,0.2820874471086037
