cord_id,kfg_id,cord_name,hierarchy_level,value_num,primary_color,is_banded,attachment,twist,beh_label,typology_label
415,KH0006,p37,0,0,W,True,U,U,B2,T1
416,KH0006,p38,0,5,MB,False,U,U,B2,T1
417,KH0006,p39,0,1,MB,False,U,U,B2,T1
418,KH0006,p40,0,2,MB,False,U,U,B2,T1
419,KH0007,p1,0,5,W,False,U,U,B3,T1
420,KH0007,p2,0,24,W,False,U,U,B3,T1
421,KH0007,p3,0,9,W,False,U,U,B3,T1
422,KH0007,p4,0,47,W,True,U,U,B3,T1
423,KH0007,p5,0,10,W,True,U,U,B3,T1
424,KH0007,p6,0,10,W,True,U,U,B3,T1
425,KH0007,p7,0,105,W,True,T,U,B3,T1
426,KH0007,p8,0,6,W,True,U,U,B3,T1
427,KH0007,p9,0,28,MB,False,U,U,B3,T1
428,KH0007,p9s1,1,4,W,True,U,U,B3,T1
429,KH0007,p10,0,12,MB,False,U,U,B3,T1
430,KH0007,p10s1,1,1,W,True,U,U,B3,T1
431,KH0007,p10s2,1,2,W,True,U,U,B3,T1
432,KH0007,p10s3,1,1,MB,False,U,U,B3,T1
433,KH0007,p11,0,51,W,False,U,U,B3,T1
434,KH0007,p12,0,8,W,False,U,U,B3,T1
435,KH0007,p13,0,15,W,False,U,U,B3,T1
436,KH0007,p14,0,120,W,True,T,U,B3,T1
437,KH0007,p14s1,1,8,GR,False,T,U,B3,T1
438,KH0007,p14s2,1,1,W,False,T,U,B3,T1
439,KH0007,p14s3,1,2,MB,False,T,U,B3,T1
440,KH0007,p14s4,1,4,W,True,T,U,B3,T1
441,KH0007,p14s5,1,1,W,False,T,U,B3,T1
442,KH0007,p15,0,7,MB,False,U,U,B3,T1
443,KH0007,p16,0,20,MB,False,U,U,B3,T1
444,KH0007,p16s1,1,8,MB,False,U,U,B3,T1
445,KH0007,p17,0,12,MB,False,U,U,B3,T1
446,KH0007,p17s1,1,9,MB,False,U,U,B3,T1
447,KH0007,p17s2,1,6,MB,False,U,U,B3,T1
448,KH0007,p17s3,1,5,W,True,U,U,B3,T1
449,KH0007,p17s4,1,3,W,True,U,U,B3,T1
450,KH0007,p18,0,57,MB,False,U,U,B3,T1
451,KH0007,p18s1,1,0,MB,False,U,U,B3,T1
452,KH0007,p19,0,14,MB,False,U,U,B3,T1
453,KH0007,p20,0,8,MB,False,U,U,B3,T1
454,KH0007,p21,0,127,MB,False,T,U,B3,T1
455,KH0007,p21s1,1,8,W,False,T,U,B3,T1
