kfg_id,typology_label,geo_zone,provenance_display,beh_cluster,beh_label,value_register,pct_nonzero,pct_round5,entropy_per_cord,max_hier_level,knot_L_ratio,knot_E_ratio,has_pp,has_ip,has_cp,has_sp,has_gg,has_gsb,has_is,has_psn,has_adg
KH0681,T1,,Unknown,4,B5,6.0,0.16666666666666666,0.4444444444444444,0.24412885815823884,0,0.5555555555555556,0.0,1,0,0,0,0,0,0,0,0
KH0682,T1,,Gaffron Collection,3,B4,15.0,0.7966101694915254,0.19148936170212766,0.10108249819738867,2,0.47560975609756095,0.06097560975609756,1,0,0,1,0,0,0,0,0
KH0683,T1,,Gaffron Collection,4,B5,18.0,0.75,0.3333333333333333,0.2709690972823186,1,0.3888888888888889,0.1111111111111111,0,0,0,0,1,0,0,0,0
KH0684,T1,,Gaffron Collection,4,B5,37.0,0.5,0.0,0.5,1,0.42857142857142855,0.14285714285714285,0,0,0,0,0,0,0,0,0
KH0685,T1,,Gaffron Collection,4,B5,5.5,1.0,0.0,0.375,0,1.0,0.0,0,0,0,0,0,0,0,0,0
KH0686,T1,,Gaffron Collection,4,B5,16.0,0.75,0.0,0.5283208335737187,0,0.42857142857142855,0.0,0,0,0,0,0,0,0,0,0
KH0687,T1,,Gaffron Collection,4,B5,4.0,1.0,0.0,0.5283208335737187,0,1.0,0.0,0,1,0,0,0,0,0,0,0
KH0688,T1,,Gaffron Collection,5,B6,55.0,0.75,0.6666666666666666,0.30609861135149646,0,0.42857142857142855,0.0,0,0,0,0,1,0,0,0,0
KH0689,T1,,Gaffron Collection,3,B4,12.0,0.6829268292682927,0.07142857142857142,0.14316506357272024,2,0.5333333333333333,0.06666666666666667,1,0,0,0,0,0,0,0,1
KH0690,T1,,Gaffron Collection,4,B5,40.0,0.782608695652174,0.16666666666666666,0.2254896605739557,1,0.3684210526315789,0.10526315789473684,1,1,1,0,1,0,0,0,0
KH0691,T1,,Gaffron Collection,3,B4,28.0,0.9444444444444444,0.23529411764705882,0.23351857543687118,2,0.4857142857142857,0.05714285714285714,0,0,0,0,0,0,0,0,0
KH0692,T2,,Unknown,3,B4,2.0,0.8226415094339623,0.0779816513761468,0.013304669144094727,3,0.8487084870848709,0.06642066420664207,1,1,1,1,1,0,1,1,1
KH0693,T1,,Unknown,2,B3,21.5,0.6966292134831461,0.46774193548387094,0.07944477984733841,1,0.44086021505376344,0.0,1,1,1,0,0,0,0,0,1
